ダウンロードした時刻：2024/01/19 15:34:33

,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2023/12/18,7.0,8,1
2023/12/19,7.0,8,1
2023/12/20,8.5,8,1
2023/12/21,7.7,8,1
2023/12/22,5.3,8,1
2023/12/23,5.0,8,1
2023/12/24,4.9,8,1
2023/12/25,6.3,8,1
2023/12/26,7.6,8,1
2023/12/27,8.4,8,1
2023/12/28,7.0,8,1
2023/12/29,7.8,8,1
2023/12/30,9.0,8,1
2023/12/31,9.2,8,1
2024/1/1,9.2,8,1
2024/1/2,6.1,8,1
2024/1/3,7.4,8,1
2024/1/4,9.7,8,1
2024/1/5,7.4,8,1
2024/1/6,9.1,8,1
2024/1/7,8.3,8,1
2024/1/8,5.4,8,1
2024/1/9,5.4,8,1
2024/1/10,7.2,8,1
2024/1/11,4.8,8,1
2024/1/12,7.1,8,1
2024/1/13,5.9,8,1
2024/1/14,6.4,8,1
2024/1/15,6.3,8,1
2024/1/16,3.7,8,1
2024/1/17,6.2,8,1
2024/1/18,8.5,8,1
